reinos	EE	vpd	mpd	ses.pd	Fdiv	Feve	ses.fd	richness	riq.reino	median.bs.rg	median.div.rg	taxaend
1	0.472752969	0.01190434	0.013536797	0.901069928	7.33E-05	7.40E-05	0.000303217	0.000528371	62	0.301217711	0.002630228	0
2	0.396733202	5.27E-05	0.000516807	0.9314874	0.000115919	1.74E-06	0.001036756	0.001288706	46	0.158107314	0.001315884	0.043478261
3	0.469673736	2.13E-06	6.42E-06	0.999687426	6.33E-07	7.10E-09	1.86E-06	1.52E-06	31	0.134222545	0.001107865	0
4	0.460386286	0.000626289	0.006488106	0.900229333	0.001094134	0.001771545	0.002545887	0.000254706	16	0.117301423	0.000976744	0
5	0.419423576	0.017852093	0.001856505	0.53850916	0.00705483	0.027771303	0.08559841	0.1763577	62	0.165431873	0.001387886	0.064516129
6	0.393921602	0.038694383	0.013404455	0.412950936	0.006794056	0.008315639	0.414278912	0.007531619	21	0.134222545	0.001374287	0
7	0.367144883	0.000853274	0.000559672	0.61491458	0.001400369	0.010629896	0.334250192	0.029112017	34	0.14354019	0.001314276	0
8	0.292443103	0.009449143	0.001523888	0.180011078	0.00312989	0.019588916	0.735020236	0.04175685	60	0.171711519	0.001559221	0
9	0.427716986	0.000102472	0.002557297	0.601168703	0.001566284	0.030805471	0.165884753	0.004865021	17	0.139090655	0.001374287	0
10	0.474786302	0.001744373	0.013628147	0.935250883	3.13E-05	0.001583725	0.002373663	0.00054789	64	0.165626191	0.00150093	0
11	0.352417538	5.39E-05	0.003549451	0.956294558	0.000166961	0.00034597	0.010517687	0.006831444	104	0.225117421	0.002102893	0.067307692
12	0.480676673	1.57E-05	4.50E-05	0.998576354	9.94E-06	5.01E-05	3.72E-05	9.57E-05	121	0.30751634	0.003009893	0.016528926
13	0.363336154	0.006912395	0.013348391	0.605581233	0.001044408	0.001164452	0.251238793	0.000170328	13	0.137018134	0.001107165	0
14	0.361409544	6.19E-05	0.00059893	0.906780827	4.12E-05	5.10E-05	0.035344578	0.009561569	45	0.156071324	0.001399934	0
15	0.462247951	0.000355513	0.007937981	0.820842624	3.97E-05	6.95E-05	0.01925569	0.013628981	41	0.174574628	0.001503906	0
16	0.497399956	3.60E-08	0.001104835	0.873449805	0.0002042	0.000761715	0.006518312	1.10E-06	54	0.155171516	0.00140071	0.037037037
18	0.393944095	0.046742983	0.001491641	0.407686691	0.004877485	0.003597727	0.402408047	0.027765425	41	0.158217432	0.001374287	0
19	0.290758851	0.007429868	0.003201835	0.764856612	0.009378197	0.024146138	0.115255251	0.0634621	100	0.216443365	0.002104772	0.07
21	0.252037646	0.008436067	0.029646393	0.752194143	0.003275108	0.000393843	0.083862447	0.047561999	129	0.331651564	0.003545075	0.031007752
22	0.364622645	0.002107532	0.002638985	0.857100914	2.32E-05	0.000593657	0.006468935	0.014616798	135	0.308543058	0.003509047	0.02962963
23	0.396790294	0.000102356	0.000421494	0.676312518	0.001601155	0.009579887	0.170431143	0.012171447	139	0.308543058	0.003509047	0.122302158
24	0.341027249	0.001246871	0.01660344	0.608019345	0.006105644	0.020013612	0.029828766	0.141872322	176	0.463756965	0.004962476	0.096590909
25	0.300242119	0.005789478	0.003904903	0.900916337	3.34E-05	0.002029713	0.035587894	0.000578229	95	0.25	0.002338754	0
26	0.460066991	0.000762973	0.017666112	0.672147238	0.000189594	0.000890681	0.127890547	0.031302855	7	0.143814375	0.001313361	0
27	0.398160378	0.000221671	0.001929127	0.93838198	0.000940807	0.001042089	0.007926783	0.001877543	70	0.296758449	0.002628668	0.014285714
28	0.482097726	1.96E-05	0.000667937	0.939299444	0.000902767	0.000601475	4.69E-07	0.002158267	117	0.389878001	0.003558518	0.128205128
29	0.440695574	0.004110047	0.000592099	0.856127405	0.000221839	0.003820769	0.047545073	0.002742768	84	0.207175168	0.001909499	0.011904762
30	0.256165664	0.086231216	0.002752314	0.632472253	0.000147917	0.009595387	0.208735654	0.003245257	46	0.198544816	0.001685617	0
